f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2
Entire rental unit,Pudong,100,100,5,4,2,2,7,5,2,1.39,1,150,1,1,1,1,1,1,0,1,0,0,0,1,0,689,51301859,Pudong,Entire rental unit,6.535241271013659,4,0,2.0794415416798357,22500,10000,10000,1.6094379124341003,4
Entire loft,Xuhui District,100,100,9,4,2,2,0,NA,11,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,0,0,555,51310986,Xuhui District,Entire loft,6.318968113746434,4,0,0,NA,10000,10000,2.1972245773362196,4
Entire serviced apartment,Huangpu District,100,100,0,6,3,3,0,NA,5,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,0,1131,51311486,Huangpu District,Entire serviced apartment,7.030857476116121,9,0,0,NA,10000,10000,NA,9
Entire serviced apartment,Huangpu District,100,100,0,6,3,3,0,NA,5,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,1131,51311746,Huangpu District,Entire serviced apartment,7.030857476116121,9,0,0,NA,10000,10000,NA,9
Entire serviced apartment,Huangpu District,100,100,0,6,3,3,0,NA,5,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,1131,51312021,Huangpu District,Entire serviced apartment,7.030857476116121,9,0,0,NA,10000,10000,NA,9
Entire serviced apartment,Huangpu District,100,100,0,6,3,3,0,NA,5,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,1131,51312228,Huangpu District,Entire serviced apartment,7.030857476116121,9,0,0,NA,10000,10000,NA,9
Entire rental unit,Pudong,100,100,0,2,1,1,2,5,2,0.41,1.5,146,0,1,1,0,1,1,1,1,0,0,1,1,1,426,51312271,Pudong,Entire rental unit,6.054439346269371,1,0.4054651081081644,1.0986122886681098,21316,10000,10000,NA,1
Entire rental unit,Pudong,100,100,16,4,2,2,0,NA,5,NA,1,NA,1,1,1,1,1,1,1,1,0,1,1,1,0,689,51313390,Pudong,Entire rental unit,6.535241271013659,4,0,0,NA,10000,10000,2.772588722239781,4
Entire rental unit,Pudong,98,100,10,4,2,2,1,5,4,0.2,1,150,1,1,1,1,1,1,0,1,0,0,0,0,0,689,51313634,Pudong,Entire rental unit,6.535241271013659,4,0,0.6931471805599453,22500,10000,9604,2.302585092994046,4
Entire serviced apartment,Huangpu District,100,100,5,5,2,3,0,NA,6,NA,1,NA,0,1,1,0,1,1,0,1,0,0,1,0,0,688,51313767,Huangpu District,Entire serviced apartment,6.5337888379333435,9,0,0,NA,10000,10000,1.6094379124341003,4
Entire rental unit,Pudong,100,100,6,4,2,2,0,NA,3,NA,1,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,689,51314058,Pudong,Entire rental unit,6.535241271013659,4,0,0,NA,10000,10000,1.791759469228055,4
Entire rental unit,Pudong,100,100,8,4,2,2,0,NA,4,NA,1,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,689,51314963,Pudong,Entire rental unit,6.535241271013659,4,0,0,NA,10000,10000,2.0794415416798357,4
Entire loft,Jiading District,100,100,4,4,2,3,2,5,5,0.72,1.5,82,0,1,1,1,1,0,0,1,0,0,0,1,0,318,51315113,Jiading District,Entire loft,5.762051382780177,9,0.4054651081081644,1.0986122886681098,6724,10000,10000,1.3862943611198906,4
Entire rental unit,Pudong,100,100,4,4,2,2,0,NA,1,NA,1,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,689,51315310,Pudong,Entire rental unit,6.535241271013659,4,0,0,NA,10000,10000,1.3862943611198906,4
Entire rental unit,Pudong,90,100,4,4,2,2,0,NA,1,NA,1,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,689,51315591,Pudong,Entire rental unit,6.535241271013659,4,0,0,NA,10000,8100,1.3862943611198906,4
Entire rental unit,Changning District,100,100,0,2,1,2,10,5,8,2,1,149,1,1,1,1,1,0,1,1,0,1,1,0,1,678,51315610,Changning District,Entire rental unit,6.519147287940395,4,0,2.3978952727983707,22201,10000,10000,NA,1
Entire rental unit,Huangpu District,100,100,5,4,2,2,3,5,6,0.87,1.5,103,0,1,1,0,1,1,1,1,0,0,1,0,0,605,51316307,Huangpu District,Entire rental unit,6.405228458030842,4,0.4054651081081644,1.3862943611198906,10609,10000,10000,1.6094379124341003,4
Entire rental unit,Jing'an District,NA,100,0,2,1,1,0,NA,1,NA,1.5,NA,0,1,1,1,1,1,1,1,0,1,1,0,1,516,51317480,Jing'an District,Entire rental unit,6.246106765481563,1,0.4054651081081644,0,NA,10000,NA,NA,1
Entire rental unit,Huangpu District,100,100,5,4,1,2,0,NA,6,NA,1,NA,0,1,1,1,1,1,1,1,0,1,1,0,1,480,51334893,Huangpu District,Entire rental unit,6.173786103901937,4,0,0,NA,10000,10000,1.6094379124341003,1
Entire rental unit,Changning District,99,100,33,3,1,2,1,3,33,0.55,1,54,0,1,1,1,1,1,1,1,0,1,1,0,1,307,51338131,Changning District,Entire rental unit,5.726847747587197,4,0,0.6931471805599453,2916,10000,9801,3.4965075614664802,1
Entire rental unit,Huangpu District,100,96,20,4,1,3,6,5,16,1.28,1,140,1,1,1,0,1,1,1,1,0,1,0,0,0,243,51349704,Huangpu District,Entire rental unit,5.493061443340548,9,0,1.9459101490553132,19600,9216,10000,2.995732273553991,1
Entire rental unit,Pudong,100,100,1,2,1,1,2,5,1,0.5,1,119,0,1,1,1,1,1,0,1,0,0,0,1,0,567,51352113,Pudong,Entire rental unit,6.340359303727752,1,0,1.0986122886681098,14161,10000,10000,0,1
Entire rental unit,Putuo District,0,100,2,2,1,1,0,NA,2,NA,1,NA,0,1,1,0,0,0,0,1,0,0,0,0,0,180,51354416,Putuo District,Entire rental unit,5.19295685089021,1,0,0,NA,10000,0,0.6931471805599453,1
Entire rental unit,Xuhui District,100,100,2,3,1,3,0,NA,3,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,0,0,328,51360902,Xuhui District,Entire rental unit,5.793013608384144,9,0,0,NA,10000,10000,0.6931471805599453,1
Entire rental unit,Huangpu District,100,100,12,2,1,2,1,5,12,0.23,1.5,132,1,1,1,1,1,1,0,1,0,0,0,0,0,581,51368053,Huangpu District,Entire rental unit,6.364750756851911,4,0.4054651081081644,0.6931471805599453,17424,10000,10000,2.4849066497880004,1
Entire rental unit,Hongkou District,100,100,0,4,1,2,1,5,3,0.25,1,119,0,1,1,1,1,1,0,1,0,0,0,1,0,418,51376292,Hongkou District,Entire rental unit,6.035481432524756,4,0,0.6931471805599453,14161,10000,10000,NA,1
Entire rental unit,Minhang District,100,100,11,2,NA,1,0,NA,11,NA,1,NA,1,1,1,1,1,0,0,1,0,0,0,0,0,122,51381765,Minhang District,Entire rental unit,4.804021044733257,1,0,0,NA,10000,10000,2.3978952727983707,NA
Entire rental unit,Minhang District,100,100,27,2,NA,1,1,5,14,0.43,1,69,0,1,1,1,1,0,0,1,0,0,0,0,0,145,51383766,Minhang District,Entire rental unit,4.976733742420574,1,0,0.6931471805599453,4761,10000,10000,3.295836866004329,NA
Entire rental unit,Songjiang District,NA,NA,0,2,1,1,0,NA,2,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,0,0,279,51393239,Songjiang District,Entire rental unit,5.631211781821365,1,0,0,NA,NA,NA,NA,1
Entire rental unit,Pudong,NA,NA,0,2,1,1,0,NA,2,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,279,51394146,Pudong,Entire rental unit,5.631211781821365,1,0,0,NA,NA,NA,NA,1
Entire rental unit,Hongkou District,100,100,0,4,1,2,0,NA,3,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,0,0,599,51394689,Hongkou District,Entire rental unit,6.395261598115449,4,0,0,NA,10000,10000,NA,1
