f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire rental unit,Xuhui District,NA,NA,2,3,1,2,85,4.74,1,0.62,1,4107,1,1,1,0,1,1,1,1,0,1,1,1,1,480,24963,Xuhui District,Entire rental unit
Entire serviced apartment,Jing'an District,100,100,15,2,1,1,42,4.78,15,0.36,1,3499,1,1,1,1,1,1,0,1,0,0,0,0,1,464,322045,Jing'an District,Entire serviced apartment
Entire rental unit,Jing'an District,100,100,15,2,1,1,32,4.74,15,0.28,1,3458,1,1,1,1,1,1,1,1,0,1,1,0,1,400,402315,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,29,4.39,15,0.25,1,3502,1,1,1,1,1,1,0,1,0,0,0,0,1,464,479499,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,35,4.63,15,0.3,1,3498,1,1,1,1,1,1,1,1,0,0,0,0,1,394,479506,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,2,1,1,81,4.89,15,0.71,1,3432,1,1,1,1,1,1,0,1,0,0,0,0,1,428,479517,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,3,1,2,41,4.88,15,0.36,1,3409,1,1,1,1,1,1,1,1,0,1,1,0,1,453,479530,Jing'an District,Entire rental unit
Entire serviced apartment,Pudong,100,77,31,2,1,1,7,4.29,17,0.09,1,2426,0,1,1,1,1,1,1,1,0,1,1,0,1,383,736526,Pudong,Entire serviced apartment
Entire serviced apartment,Pudong,100,77,31,2,1,1,24,4.26,17,0.23,1,3172,0,1,1,1,1,1,1,1,0,1,1,0,1,383,837691,Pudong,Entire serviced apartment
Entire serviced apartment,Pudong,100,77,31,2,1,1,5,4,17,0.05,1,3064,0,1,1,1,1,1,1,1,0,1,1,0,1,371,841576,Pudong,Entire serviced apartment
Entire serviced apartment,Pudong,100,77,31,2,1,1,19,4.26,17,0.26,1,2163,0,1,1,1,1,1,1,1,0,1,1,0,1,335,1467784,Pudong,Entire serviced apartment
Entire rental unit,Xuhui District,100,64,1,2,NA,1,13,4.46,1,0.13,1.5,2941,0,1,1,0,1,1,1,1,0,1,1,0,1,551,1555953,Xuhui District,Entire rental unit
Entire rental unit,Jing'an District,88,57,1,2,1,1,16,5,1,0.24,1,1960,0,1,1,0,1,1,1,1,0,0,0,0,0,360,2023765,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,NA,NA,1,2,1,1,41,4.63,1,0.47,1,2644,1,1,1,0,1,1,0,1,0,0,0,0,0,1203,2510225,Jing'an District,Entire rental unit
Entire rental unit,Pudong,NA,50,1,6,3,4,8,5,1,0.24,2,988,0,1,1,1,1,1,1,1,1,1,1,1,0,1869,3054998,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,6,5,8,0.07,1,2751,0,1,1,1,1,1,1,1,0,0,1,0,1,364,3139838,Pudong,Entire rental unit
Entire rental unit,Xuhui District,100,99,19,2,1,1,73,4.78,5,0.8,1,2740,1,1,1,1,1,1,0,1,0,0,0,0,1,498,3245833,Xuhui District,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,8,4,8,0.09,1,2686,0,1,1,1,1,1,1,1,0,0,1,0,1,369,3274271,Pudong,Entire rental unit
Entire rental unit,Yangpu District,NA,NA,1,2,1,1,4,5,1,0.09,2.5,1276,0,1,1,1,1,1,1,1,1,1,1,0,1,627,3616752,Yangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,4,5,8,0.05,1,2349,0,1,1,1,1,1,1,1,0,0,1,0,1,366,3630947,Pudong,Entire rental unit
Entire rental unit,Huangpu District,100,98,24,2,1,1,248,4.73,12,2.75,1,2707,1,1,1,1,1,1,1,1,1,1,1,0,1,454,3679038,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,0,NA,11,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,244,3803748,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,4,4.75,11,0.06,1.5,2109,0,1,1,1,1,1,1,1,0,0,0,0,1,223,3838102,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,3,3,11,0.04,1,2362,0,1,1,1,1,1,0,1,0,0,0,0,0,217,4069534,Pudong,Entire rental unit
Entire loft,Jing'an District,100,92,6,2,1,1,14,4.85,2,0.43,1,985,0,1,1,0,1,1,1,1,0,1,0,0,1,151,4079845,Jing'an District,Entire loft
Entire rental unit,Huangpu District,100,100,1,6,3,3,127,4.81,1,1.45,2,2635,0,1,1,1,1,1,1,1,0,1,1,0,0,933,4133180,Huangpu District,Entire rental unit
Entire loft,Xuhui District,NA,0,1,2,1,1,242,4.47,1,2.74,1,2647,0,1,1,0,1,1,1,1,0,1,0,0,1,1143,4146179,Xuhui District,Entire loft
Entire serviced apartment,Jing'an District,80,100,3,4,1,2,191,4.72,3,2.2,1,2605,0,1,1,0,1,1,1,1,0,0,1,0,1,334,4346259,Jing'an District,Entire serviced apartment
Entire rental unit,Changning District,100,NA,1,2,1,1,10,4.67,1,0.13,1,2346,0,1,1,0,1,1,1,1,0,1,1,0,1,448,4415545,Changning District,Entire rental unit
Entire rental unit,Huangpu District,100,99,1,2,1,1,194,4.91,1,2.28,1,2555,1,1,1,1,1,1,1,1,0,1,1,0,1,611,4524412,Huangpu District,Entire rental unit
Entire rental unit,Pudong,NA,NA,1,2,1,1,7,5,1,0.09,1,2295,0,1,1,0,1,1,0,1,0,0,0,0,0,399,4618286,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,25,4.28,11,0.34,1.5,2227,0,1,1,1,1,1,1,1,0,1,1,0,1,222,4787070,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,8,2,1,1,2,4.5,8,0.11,1,566,0,1,1,1,1,1,1,1,0,0,1,0,1,368,4843016,Pudong,Entire rental unit
Entire rental unit,Minhang District,NA,NA,1,5,1,1,0,NA,1,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,1286,5008804,Minhang District,Entire rental unit
Entire rental unit,Jing'an District,100,98,24,4,1,2,178,4.72,12,2.14,1,2500,1,1,1,0,1,1,0,1,0,0,0,0,1,443,5373489,Jing'an District,Entire rental unit
Entire serviced apartment,Jing'an District,94,95,32,4,1,2,55,4.3,15,0.67,1,2470,0,1,1,1,1,1,0,1,0,0,0,0,1,605,5401207,Jing'an District,Entire serviced apartment
Entire loft,Changning District,100,100,1,3,1,1,5,5,1,0.28,1.5,529,1,1,1,0,1,0,1,1,0,1,1,0,1,438,5492565,Changning District,Entire loft
Entire rental unit,Huangpu District,100,86,2,2,1,1,260,4.84,1,3.32,1.5,2348,1,1,1,0,1,1,1,1,0,1,1,1,1,398,5525814,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,100,75,3,4,2,2,2,3.5,2,0.03,2,2078,0,1,1,0,1,1,0,1,0,0,0,0,0,774,5528693,Huangpu District,Entire rental unit
Entire rental unit,Hongkou District,100,99,6,2,1,1,91,4.76,4,1.33,1,2053,1,1,1,0,1,1,1,1,0,1,0,0,1,208,5666556,Hongkou District,Entire rental unit
Entire rental unit,Pudong,NA,NA,3,2,1,1,58,4.84,1,0.72,1,2424,1,1,1,0,1,1,0,1,0,0,0,0,0,359,5779959,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,98,24,2,1,1,329,4.82,12,4.06,1,2432,1,1,1,1,1,1,0,1,0,0,0,0,1,571,5862985,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,98,24,3,1,2,244,4.74,12,3,1,2441,1,1,1,0,1,1,1,1,0,1,1,0,1,550,5863084,Jing'an District,Entire rental unit
Entire rental unit,Minhang District,NA,100,1,4,2,2,24,5,1,0.3,1.5,2437,1,1,1,0,1,1,1,1,0,1,1,0,1,450,5889772,Minhang District,Entire rental unit
Entire rental unit,Xuhui District,100,NA,1,6,2,2,24,4.92,1,0.3,2,2377,0,1,1,0,1,1,0,1,0,0,0,0,0,1152,5993656,Xuhui District,Entire rental unit
Entire rental unit,Hongkou District,100,100,3,2,1,1,221,4.99,3,2.75,1,2407,1,1,1,0,1,1,0,1,0,0,0,0,1,750,6221854,Hongkou District,Entire rental unit
Entire rental unit,Huangpu District,100,100,2,4,1,2,93,4.81,1,1.15,1,2422,1,1,1,0,1,1,1,1,0,1,1,0,0,524,6242160,Huangpu District,Entire rental unit
Entire rental unit,Jing'an District,100,100,28,3,1,2,285,4.75,26,3.56,1,2404,0,1,1,1,1,1,0,1,0,0,1,0,1,624,6429928,Jing'an District,Entire rental unit
Entire rental unit,Qingpu District,100,80,5,4,2,3,20,4.95,4,0.26,1,2279,1,1,1,0,1,1,1,1,0,1,0,0,1,558,6482165,Qingpu District,Entire rental unit
Entire rental unit,Qingpu District,100,80,5,5,3,4,13,4.85,4,0.18,1,2184,1,1,1,0,1,1,1,1,0,1,0,0,1,569,6560873,Qingpu District,Entire rental unit
Entire rental unit,Chongming District,100,100,2,6,3,3,97,4.73,1,1.22,2,2375,0,1,1,0,1,1,0,1,0,0,1,1,0,780,6646428,Chongming District,Entire rental unit
Entire rental unit,Songjiang District,100,100,15,2,1,1,85,4.87,17,1.1,1,2308,1,1,1,1,1,1,1,1,0,1,1,0,0,401,6818418,Songjiang District,Entire rental unit
Entire rental unit,Putuo District,100,100,4,4,2,2,10,4.7,1,0.13,1,2344,0,1,1,1,1,1,0,1,0,0,0,0,1,403,7012958,Putuo District,Entire rental unit
Entire rental unit,Pudong,100,92,1,3,1,2,448,4.86,1,5.71,1,2353,1,1,1,0,1,1,1,1,0,1,1,0,1,296,7077655,Pudong,Entire rental unit
Entire rental unit,Yangpu District,100,67,6,2,1,1,40,4.98,3,0.73,1,1634,1,1,1,0,1,1,1,1,0,0,0,0,1,341,7465494,Yangpu District,Entire rental unit
Entire rental unit,Huangpu District,100,100,11,4,1,2,368,4.78,10,4.75,1,2323,0,1,1,1,1,1,1,1,0,0,1,0,1,355,7766508,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,NA,100,1,2,1,NA,237,4.83,1,3.19,1,2231,1,1,1,0,1,1,1,1,0,0,1,0,1,299,7875641,Huangpu District,Entire rental unit
Entire rental unit,Jing'an District,NA,0,0,2,1,2,4,4.5,1,0.06,1,2072,0,1,1,0,0,1,0,1,0,0,0,0,0,699,7880493,Jing'an District,Entire rental unit
Entire rental unit,Xuhui District,94,95,32,5,2,3,48,4.65,15,0.63,1,2296,0,1,1,1,1,1,1,1,0,1,1,0,1,985,7911544,Xuhui District,Entire rental unit
Entire loft,Xuhui District,100,100,3,3,2,2,13,4.33,1,0.23,1,1682,0,1,1,0,1,1,0,1,0,1,0,0,1,531,7962037,Xuhui District,Entire loft
Entire rental unit,Changning District,100,94,14,2,1,1,8,4.38,11,0.11,1,2190,0,1,1,0,1,1,0,1,0,0,0,0,0,358,8205671,Changning District,Entire rental unit
Entire loft,Xuhui District,100,100,28,3,2,2,287,4.84,26,3.76,1,2289,0,1,1,1,1,1,1,1,0,1,1,0,1,754,8414981,Xuhui District,Entire loft
Entire rental unit,Songjiang District,NA,NA,7,4,2,2,0,NA,1,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,0,0,386,8478443,Songjiang District,Entire rental unit
Entire loft,Xuhui District,0,100,8,3,1,1,407,4.56,4,5.36,1,2276,0,1,1,0,1,1,0,1,0,0,0,0,1,898,8608503,Xuhui District,Entire loft
Entire loft,Xuhui District,100,100,28,2,1,1,210,4.83,26,2.8,1,2252,0,1,1,1,1,1,1,1,0,1,1,0,1,771,8625285,Xuhui District,Entire loft
Entire rental unit,Xuhui District,NA,0,2,2,1,2,136,4.89,1,1.81,1,2252,1,1,1,0,1,1,1,1,0,1,1,1,1,485,8702294,Xuhui District,Entire rental unit
Entire rental unit,Huangpu District,100,96,2,2,1,1,75,4.79,2,1.01,1,2231,0,1,1,0,1,0,1,1,0,1,1,0,1,324,8784555,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,0,NA,11,NA,1,NA,0,1,1,1,1,1,0,1,0,0,1,0,1,265,8994565,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,3,1,2,20,5,15,0.31,1,1934,1,1,1,1,1,1,0,1,0,0,1,0,1,435,9051260,Jing'an District,Entire rental unit
Entire loft,Huangpu District,100,75,2,4,2,1,88,4.85,1,1.21,1,2185,0,1,1,0,1,0,1,1,1,1,1,0,1,888,9219012,Huangpu District,Entire loft
Entire rental unit,Xuhui District,100,54,1,6,3,4,99,4.96,1,1.34,2,2218,1,1,1,0,1,1,1,1,0,1,1,0,1,795,9333186,Xuhui District,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,6,3.83,11,0.09,1.5,1972,0,1,1,1,1,1,0,1,0,0,1,0,1,229,9414530,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,22,4.43,11,0.31,1.5,2152,0,1,1,1,1,1,1,1,0,1,1,0,1,240,9417958,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,95,1,2,1,1,85,4.81,1,1.17,1,2175,1,1,1,0,1,1,1,1,0,1,1,0,0,306,9419010,Jing'an District,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,3,4.33,11,0.04,1.5,2226,0,1,1,1,1,1,1,1,0,0,1,0,1,284,9434454,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,14,4.64,11,0.19,1,2226,0,1,1,1,1,1,1,1,0,0,1,0,1,247,9436301,Pudong,Entire rental unit
Entire rental unit,Pudong,100,100,11,2,1,1,0,NA,11,NA,1.5,NA,0,1,1,1,1,1,0,1,0,0,0,0,0,246,9514063,Pudong,Entire rental unit
Entire rental unit,Huangpu District,100,100,8,4,1,2,194,4.51,8,2.63,1,2212,0,1,1,1,1,1,1,1,0,0,0,0,1,281,9616696,Huangpu District,Entire rental unit
Entire rental unit,Putuo District,100,100,1,4,2,2,35,4.83,1,0.61,1,1711,0,1,1,0,1,1,0,1,0,0,0,1,0,320,9675563,Putuo District,Entire rental unit
Entire rental unit,Jing'an District,100,100,4,2,1,1,65,4.86,2,0.89,1.5,2183,0,1,1,0,1,1,1,1,0,1,1,0,1,725,10031709,Jing'an District,Entire rental unit
Entire serviced apartment,Jing'an District,80,100,3,4,1,2,175,4.77,3,2.42,1,2166,0,1,1,0,1,1,1,1,0,0,1,0,1,305,10094990,Jing'an District,Entire serviced apartment
Entire rental unit,Jing'an District,100,100,4,2,1,1,176,4.84,2,2.42,1,2183,0,1,1,0,1,1,0,1,0,0,0,0,0,558,10183642,Jing'an District,Entire rental unit
Entire rental unit,Qingpu District,100,80,5,2,1,2,2,5,4,0.03,1,1819,1,1,1,0,1,1,1,1,0,1,1,0,0,398,10186352,Qingpu District,Entire rental unit
Entire rental unit,Huangpu District,95,100,12,2,1,1,80,4.76,12,1.11,1,2163,0,1,1,1,1,1,1,1,0,1,0,0,0,322,10221007,Huangpu District,Entire rental unit
Entire rental unit,Changning District,100,100,16,2,1,1,20,4.53,16,0.29,1,2103,0,1,1,1,1,1,1,1,0,0,1,1,0,336,10417872,Changning District,Entire rental unit
Entire loft,Jing'an District,95,100,12,4,2,2,13,4.85,12,0.4,1,965,0,1,1,1,1,0,1,1,0,1,1,0,0,705,10485608,Jing'an District,Entire loft
Entire rental unit,Xuhui District,NA,100,3,5,2,2,19,4.28,3,0.28,1,2041,0,1,1,0,1,1,0,1,0,0,0,0,0,658,10499504,Xuhui District,Entire rental unit
Entire rental unit,Putuo District,100,60,2,2,1,1,5,5,2,0.09,1.5,1720,0,1,1,0,1,1,0,1,0,0,0,0,1,888,10638666,Putuo District,Entire rental unit
Entire serviced apartment,Yangpu District,NA,NA,1,3,1,1,18,4.88,1,0.26,1,2100,0,1,1,0,1,1,0,1,0,0,0,0,1,600,10645462,Yangpu District,Entire serviced apartment
Entire rental unit,Jing'an District,100,99,6,2,1,1,88,4.84,5,1.24,1,2121,1,1,1,1,1,1,1,1,0,1,1,0,1,597,10711115,Jing'an District,Entire rental unit
Entire serviced apartment,Xuhui District,94,95,32,3,1,1,30,4.53,15,0.57,1,1589,0,1,1,1,1,1,0,1,0,0,0,0,0,1355,10781161,Xuhui District,Entire serviced apartment
Entire rental unit,Jing'an District,100,99,19,2,1,1,43,4.77,5,0.61,1,2127,1,1,1,1,1,1,0,1,0,0,0,0,0,848,10820953,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,50,0,6,2,1,1,5,3.8,4,0.09,1,1696,0,1,1,0,1,1,0,1,0,0,0,0,0,668,10998895,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,50,0,6,2,1,1,6,4,4,0.09,1,2063,0,1,1,0,1,1,0,1,0,0,0,0,0,458,10999093,Jing'an District,Entire rental unit
Entire rental unit,Hongkou District,0,100,8,4,2,2,423,4.75,4,5.94,1,2137,0,1,1,0,1,1,0,1,0,0,0,0,1,1919,11046708,Hongkou District,Entire rental unit
Entire loft,Pudong,100,71,1,3,1,1,12,4.33,3,0.17,1.5,2088,0,1,1,0,1,1,1,1,0,1,1,0,1,480,11177203,Pudong,Entire loft
Entire rental unit,Pudong,100,99,20,6,3,3,40,4.95,22,0.56,1,2130,0,1,1,1,1,1,0,1,0,0,0,0,0,613,11193304,Pudong,Entire rental unit
Entire rental unit,Xuhui District,100,100,4,5,3,3,13,4.58,3,0.23,1,1727,0,1,1,0,1,1,1,1,0,0,0,0,0,483,11286938,Xuhui District,Entire rental unit
Entire rental unit,Minhang District,75,100,1,4,1,1,8,4.88,1,0.13,1,1819,0,1,1,1,1,1,0,1,0,0,0,1,0,346,11314169,Minhang District,Entire rental unit
Entire rental unit,Jing'an District,NA,0,9,3,1,2,1,3,1,0.02,1,1738,0,1,1,0,1,1,0,1,0,0,0,0,0,399,11329882,Jing'an District,Entire rental unit
Entire loft,Fengxian District,NA,NA,2,3,2,2,23,4.52,2,0.33,2,2076,0,1,1,0,1,1,0,1,0,0,0,1,0,189,11347622,Fengxian District,Entire loft
Entire rental unit,Jing'an District,50,0,6,2,1,1,3,5,4,0.04,1,2125,0,1,1,0,1,1,0,1,0,0,0,0,0,436,11348571,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,50,0,6,2,1,1,3,3.67,4,0.07,1,1358,0,1,1,0,1,1,0,1,0,0,0,0,0,428,11349413,Jing'an District,Entire rental unit
Entire rental unit,Huangpu District,NA,NA,1,2,1,1,15,4.57,1,0.22,1,2088,0,1,1,0,1,1,0,1,0,0,0,0,0,1000,11444920,Huangpu District,Entire rental unit
Entire rental unit,Xuhui District,100,87,8,2,1,1,12,4.83,7,0.18,1,2023,0,1,1,0,1,1,0,1,0,0,0,1,0,517,11445166,Xuhui District,Entire rental unit
Entire rental unit,Xuhui District,100,99,19,6,3,3,144,4.93,5,2.07,2,2089,1,1,1,1,1,1,0,1,0,0,0,1,0,1217,11448703,Xuhui District,Entire rental unit
Entire rental unit,Pudong,NA,0,1,2,1,1,7,4.86,1,0.1,2,2068,0,1,1,0,1,1,1,1,0,0,0,1,0,238,11542408,Pudong,Entire rental unit
Entire rental unit,Jiading District,25,40,13,6,3,3,4,5,13,0.09,1,1358,1,1,1,0,1,0,0,1,0,0,0,0,0,699,11643807,Jiading District,Entire rental unit
Entire rental unit,Jing'an District,90,100,1,2,2,2,85,4.66,1,1.23,1.5,2072,0,1,1,0,1,1,1,1,0,1,1,0,1,270,11644360,Jing'an District,Entire rental unit
Entire rental unit,Pudong,NA,67,4,3,1,2,99,4.73,3,1.5,1,1983,0,1,1,0,1,1,0,1,0,0,0,1,0,380,11658027,Pudong,Entire rental unit
Entire rental unit,Pudong,NA,94,2,3,2,2,4,4.67,1,0.07,1,1649,0,1,1,0,1,1,1,1,0,0,1,1,0,480,11667309,Pudong,Entire rental unit
Entire rental unit,Minhang District,100,100,3,3,1,2,56,4.73,1,0.8,1,2106,1,1,1,0,1,1,1,1,1,1,1,0,1,478,11700645,Minhang District,Entire rental unit
Entire loft,Yangpu District,100,71,1,4,3,2,8,5,1,0.11,2,2089,0,1,1,0,1,1,1,1,0,1,1,0,0,800,11896889,Yangpu District,Entire loft
Entire rental unit,Xuhui District,100,79,1,2,1,1,11,4.91,2,0.17,1,1908,0,1,1,0,1,0,1,1,0,1,1,0,1,320,11994289,Xuhui District,Entire rental unit
Entire loft,Jing'an District,100,100,5,2,1,1,94,4.88,2,1.4,1,2019,0,1,1,1,1,1,1,1,0,0,1,0,1,1358,12010846,Jing'an District,Entire loft
Entire rental unit,Changning District,100,94,14,2,1,1,12,4.92,11,0.18,1,2043,0,1,1,0,1,1,0,1,0,0,0,0,0,398,12032110,Changning District,Entire rental unit
Entire rental unit,Jing'an District,100,100,15,3,1,1,32,4.88,15,0.47,1,2037,1,1,1,1,1,1,0,1,0,0,1,0,1,394,12116580,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,NA,100,1,2,1,1,4,4,1,0.06,1.5,2041,0,1,1,0,1,0,1,1,0,0,1,0,0,380,12193283,Jing'an District,Entire rental unit
Entire rental unit,Xuhui District,100,95,2,2,1,1,130,4.96,2,1.88,1,2069,1,1,1,0,1,1,0,1,0,0,0,0,1,688,12346159,Xuhui District,Entire rental unit
Entire rental unit,Pudong,100,71,1,2,1,1,31,4.74,3,0.45,1.5,2062,0,1,1,0,1,1,1,1,0,0,0,0,1,450,12387355,Pudong,Entire rental unit
Entire rental unit,Huangpu District,100,100,2,2,1,1,57,4.84,1,0.83,1,2064,1,1,1,1,1,1,1,1,0,0,1,0,0,520,12393140,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,NA,98,3,2,1,1,86,4.71,3,1.25,1,2070,1,1,1,1,1,1,1,1,0,0,0,0,1,438,12483829,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,95,100,12,2,1,1,55,4.76,12,0.8,1,2066,0,1,1,1,1,1,1,1,0,0,0,0,1,294,12507759,Huangpu District,Entire rental unit
Entire loft,Jing'an District,100,91,2,2,1,1,18,4.94,2,0.31,1,1766,1,1,1,0,1,0,1,1,0,1,1,0,1,398,12550165,Jing'an District,Entire loft
Entire rental unit,Huangpu District,94,95,32,6,1,2,48,4.35,15,0.7,1,2048,0,1,1,1,1,1,1,1,0,0,0,0,1,511,12584301,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,94,95,32,6,2,2,44,4.43,15,0.64,1,2046,0,1,1,1,1,1,1,0,0,0,0,0,1,580,12611368,Huangpu District,Entire rental unit
Entire rental unit,Hongkou District,100,99,47,2,1,1,261,4.81,47,3.79,1.5,2066,0,1,1,0,1,1,1,1,0,1,1,0,1,428,12621359,Hongkou District,Entire rental unit
Entire rental unit,Jing'an District,100,67,1,2,1,1,31,4.87,2,0.66,1,1404,1,1,1,0,1,1,1,1,0,1,0,0,1,271,12624534,Jing'an District,Entire rental unit
Entire rental unit,Huangpu District,100,100,23,2,1,1,125,4.85,25,1.82,1,2061,1,1,1,1,1,1,1,1,0,1,0,0,1,299,12658836,Huangpu District,Entire rental unit
Entire rental unit,Putuo District,90,100,31,2,1,1,12,4.58,31,0.18,1,2003,0,1,1,1,1,1,0,1,0,0,1,0,1,336,12726055,Putuo District,Entire rental unit
Entire rental unit,Putuo District,100,100,1,6,2,3,78,4.95,1,1.16,1,2022,1,1,1,1,1,1,1,1,0,1,1,0,1,555,12750188,Putuo District,Entire rental unit
Entire rental unit,Huangpu District,100,99,6,2,1,1,81,4.86,5,1.2,1,2027,1,1,1,1,1,1,0,1,0,0,0,0,1,597,12800342,Huangpu District,Entire rental unit
Entire rental unit,Yangpu District,100,25,1,2,1,2,3,4.5,1,0.2,1,444,0,1,1,0,1,0,0,1,0,0,0,0,0,318,12813880,Yangpu District,Entire rental unit
Entire rental unit,Xuhui District,NA,100,1,4,2,2,11,4.5,3,0.19,1,1733,0,1,1,0,1,1,0,1,0,0,1,0,1,588,12866327,Xuhui District,Entire rental unit
Entire rental unit,Huangpu District,75,100,2,5,2,3,12,4.92,2,0.18,1,1973,0,1,1,0,1,1,0,1,0,0,0,0,0,488,12876556,Huangpu District,Entire rental unit
Entire rental unit,Huangpu District,100,99,5,2,1,1,140,4.71,3,2.15,1,1949,1,1,1,1,1,1,1,1,0,1,1,0,1,301,12940663,Huangpu District,Entire rental unit
Entire rental unit,Pudong,NA,100,1,5,2,4,9,4.71,1,0.15,1,1756,0,1,1,0,1,1,0,1,0,0,0,1,0,900,12942047,Pudong,Entire rental unit
Entire rental unit,Hongkou District,NA,100,7,4,2,2,279,4.67,3,4.09,1,2044,0,1,1,0,1,1,1,1,0,1,1,0,1,1798,13025839,Hongkou District,Entire rental unit
Entire loft,Xuhui District,95,100,12,2,1,1,91,4.74,12,1.34,1,2034,0,1,1,1,1,1,1,1,0,0,0,0,0,480,13090738,Xuhui District,Entire loft
Entire loft,Xuhui District,100,100,23,2,1,1,133,4.8,25,1.99,1,2008,1,1,1,1,1,1,0,1,0,0,0,0,1,463,13103738,Xuhui District,Entire loft
Entire loft,Xuhui District,100,73,1,2,1,1,255,4.92,1,3.76,1,2033,1,1,1,0,1,1,1,1,1,1,1,0,0,836,13122432,Xuhui District,Entire loft
Entire rental unit,Minhang District,100,100,9,4,2,2,28,4.93,11,0.42,1,2022,1,1,1,1,1,1,1,1,1,1,1,0,1,1211,13187050,Minhang District,Entire rental unit
Entire rental unit,Chongming District,NA,NA,1,4,2,2,0,NA,1,NA,1,NA,0,1,1,0,0,1,0,1,0,0,0,1,0,448,13256767,Chongming District,Entire rental unit
Entire rental unit,Qingpu District,100,100,2,6,4,5,17,4.82,1,0.27,3,1911,0,1,1,1,1,1,1,1,0,1,1,1,0,2437,13283365,Qingpu District,Entire rental unit
Entire rental unit,Songjiang District,100,100,15,4,1,2,68,4.87,17,1.01,1,2022,1,1,1,1,1,1,1,1,0,1,1,0,0,432,13284909,Songjiang District,Entire rental unit
Entire rental unit,Xuhui District,NA,100,3,2,1,1,0,NA,3,NA,1,NA,0,1,1,0,1,1,0,1,0,0,0,1,0,488,13287374,Xuhui District,Entire rental unit
Entire rental unit,Jiading District,NA,0,9,2,1,1,8,4,4,0.12,1,2028,0,1,1,0,1,1,0,1,0,0,0,1,0,358,13304060,Jiading District,Entire rental unit
Entire serviced apartment,Xuhui District,100,97,2,2,1,2,64,4.76,2,1.67,1.5,1148,1,1,1,0,1,0,1,1,0,1,1,0,1,259,13362214,Xuhui District,Entire serviced apartment
Entire rental unit,Huangpu District,100,100,36,2,1,1,182,4.58,35,2.71,1,2017,0,1,1,1,1,1,0,1,0,0,0,0,0,785,13388310,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,5,5,2,4,30,4.83,3,0.45,1,1996,0,1,1,1,1,1,0,1,0,0,0,0,1,328,13610466,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,100,28,4,2,2,231,4.7,26,3.46,1,2003,0,1,1,1,1,1,0,1,0,0,0,0,0,869,13681064,Jing'an District,Entire rental unit
Entire rental unit,Pudong,NA,NA,8,4,1,2,1,4,2,0.02,1,1286,0,1,1,0,1,1,1,1,0,0,0,1,0,6666,13689880,Pudong,Entire rental unit
Entire rental unit,Xuhui District,NA,83,2,2,1,1,85,4.73,1,1.29,1,1983,0,1,1,0,1,1,1,1,0,1,1,0,1,233,13707679,Xuhui District,Entire rental unit
