f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire rental unit,Pudong,100,100,6,3,1,2,17,4.53,5,0.63,1.5,814,1,1,1,0,1,0,1,1,0,1,1,0,1,230,21237812,Pudong,Entire rental unit
Entire rental unit,Xuhui District,100,100,4,2,NA,1,0,NA,4,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,0,223,21249086,Xuhui District,Entire rental unit
Entire rental unit,Jing'an District,NA,NA,1,2,1,1,1,4,1,0.02,1,1452,0,1,1,1,1,1,0,1,0,0,0,0,0,300,21260781,Jing'an District,Entire rental unit
Entire rental unit,Songjiang District,NA,0,2,6,3,3,23,4.96,1,0.47,1,1463,0,1,1,0,1,1,0,1,0,0,1,1,0,300,21284314,Songjiang District,Entire rental unit
Entire rental unit,Xuhui District,NA,86,1,2,1,1,3,5,1,0.06,1,1453,0,1,1,0,1,1,0,1,0,0,0,0,0,300,21297395,Xuhui District,Entire rental unit
Entire rental unit,Pudong,100,100,6,2,1,1,50,4.76,4,0.98,1,1525,0,1,1,1,1,0,1,1,0,1,1,0,1,292,21315323,Pudong,Entire rental unit
Entire rental unit,Jing'an District,100,99,22,4,1,2,192,4.77,20,3.76,1,1529,1,1,1,0,1,1,1,1,0,0,1,0,1,348,21326795,Jing'an District,Entire rental unit
Entire loft,Changning District,NA,NA,5,4,1,2,54,4.48,5,1.06,1,1522,0,1,1,1,1,1,1,1,0,1,0,0,1,402,21328158,Changning District,Entire loft
Entire rental unit,Changning District,NA,NA,5,2,1,1,50,4.74,5,0.99,1,1520,0,1,1,1,1,1,1,1,0,0,1,0,1,314,21328452,Changning District,Entire rental unit
Entire rental unit,Jing'an District,100,99,22,2,1,1,185,4.85,20,3.63,1,1530,1,1,1,0,1,1,1,1,0,0,1,0,1,289,21329958,Jing'an District,Entire rental unit
Entire rental unit,Jing'an District,100,99,24,2,1,1,218,4.94,11,4.35,1,1501,1,1,1,1,1,1,1,1,0,1,1,0,1,639,21350377,Jing'an District,Entire rental unit
